,topic,text
0,[introduction]," problem searching patterns data fundamental one long successful history instance extensive astronomical observations tycho brahe century allowed johannes kepler discover empirical laws planetary motion turn provided springboard development classical mechanics similarly discovery regularities atomic spectra played key role development veriﬁcation quantum physics early twentieth century ﬁeld pattern recognition concerned automatic discovariance ery regularities data use computer algorithms use regularities take actions classifying data different categories consider example recognizing handwritten digits illustrated figure digit corresponds pixel image represented vector comprising real numbers goal build machine take vector input produce identity digit output nontrivial problem due wide variability handwriting could introduction figure examples hand written dig taken zip codes tackled using handcrafted rules heuristics distinguishing digits based shapes strokes practice approach leads proliferation rules exceptions rules invariably gives poor results far better results obtained adopting machine learning approach large set digits called training set used tune parameters adaptive model categories digits training set known advance typically inspecting individually hand labelling express category digit using target vector represents identity corresponding digit suitable techniques representing cate gories terms vectors discussed later note one target vector digit image result running machine learning algorithm expressed function takes new digit image input generates output vector encoded way target vectors precise form function determined training phase also known learning phase basis training data model trained termine identity new digit images said comprise test set ability categorize correctly new examples differ used training known generalization practical applications variability input vectors training data comprise tiny fraction possible input vectors generalization central goal pattern recognition practical applications original input variables typically prepro cessed transform new space variables hoped pattern recognition problem easier solve instance digit recognition problem images digits typically translated scaled digit contained within box ﬁxed size greatly reduces variability within digit class location scale digits makes much easier subsequent pattern recognition algorithm distinguish different classes pre processing stage sometimes also called feature extraction note new test data must pre processed using steps training data pre processing might also performed order speed computation example goal real time face detection high resolution video stream computer must handle huge numbers pixels per second presenting directly complex pattern recognition algorithm may computationally infeasi ble instead aim ﬁnd useful features fast compute yet introduction also preserve useful discriminatory information enabling faces distinguished non faces features used inputs pattern recognition algorithm instance average value image intensity rectangular subregion evaluated extremely efﬁciently viola jones set features prove effective fast face detection number features smaller number pixels kind pre processing repre sents form dimensionality reduction care must taken pre processing often information discarded information important solution problem overall accuracy system suffer applications training data comprises examples input vectors along corresponding target vectors known supervised learning prob lems cases digit recognition example aim assign input vector one ﬁnite number discrete categories called classiﬁcation problems desired output consists one continuous variables task called regression example regression problem would prediction yield chemical manufacturing process inputs consist concentrations reactants temperature pressure pattern recognition problems training data consists set input vectors without corresponding target values goal unsupervised learning problems may discover groups similar examples within data called clustering determine distribution data within input space known density estimation project data high dimensional space two three dimensions purpose visualization finally technique reinforcement learning sutton barto con cerned problem ﬁnding suitable actions take given situation order maximize reward learning algorithm given examples optimal outputs contrast supervised learning must instead discover process trial error typically sequence states actions learning algorithm interacting environment many cases current action affects immediate reward also impact ward subsequent time steps example using appropriate reinforcement learning techniques neural network learn play game backgammon high standard tesauro network must learn take board position input along result dice throw produce strong move output done network play copy perhaps million games major challenge game backgammon involve dozens moves yet end game reward form victory achieved reward must attributed appropriately moves led even though moves good ones others less example credit assignment problem general feature inforcement learning trade exploration system tries new kinds actions see effective exploitation system makes use actions known yield high reward strong focus either exploration exploitation yield poor results reinforcement learning continues active area machine learning research however introduction figure plot training data set points shown blue circles comprising observation input variable along corresponding target variable green curve shows function sin used generate data goal predict value new value without knowledge green curve detailed treatment lies beyond scope book although tasks needs tools techniques many key ideas underpin common problems one main goals chapter introduce relatively informal way several important concepts illustrate using simple examples later book shall see ideas emerge context sophisti cated models applicable real world pattern recognition applications chapter also provides self contained introduction three important tools used throughout book namely probability theory decision theory information theory although might sound like daunting topics fact straightforward clear understanding essential machine learning techniques used best effect practical applications 
"
1,"[example, polynomial, curve, fitting]"," begin introducing simple regression problem shall use running example throughout chapter motivate number key concepts suppose observe real valued input variable wish use observation predict value real valued target variable present purposes structive consider artiﬁcial example using synthetically generated data know precise process generated data comparison learned model data example generated function sin random noise included target values described detail appendix suppose given training set comprising observations written together corresponding observations values denoted figure shows plot training set comprising data points input data set figure generated choosing values spaced uniformly range target data set obtained ﬁrst computing corresponding values function example polynomial curve fitting sin adding small level random noise gaussian distri bution gaussian distribution discussed section point order obtain corresponding value generating data way capturing property many real datasets namely possess underlying regularity wish learn individual observations corrupted random noise noise might arise intrinsically stochastic random processes radioactive decay typically due sources variability unobserved goal exploit training set order make predictions value target variable new value input variable shall see later involves implicitly trying discover underlying function sin intrinsically difﬁcult problem generalize ﬁnite data set furthermore observed data corrupted noise given uncertainty appropriate value probability theory discussed section provides framework expressing uncertainty precise quantitative manner decision theory discussed section allows exploit probabilistic representation order make predictions optimal according appropriate criteria moment however shall proceed rather informally consider simple approach based curve ﬁtting particular shall data using polynomial function form order polynomial denotes raised power polynomial coefﬁcients collectively denoted vector note although polynomial function nonlinear function linear function coefﬁcients functions polynomial linear unknown parameters important properties called linear models discussed extensively chapters values coefﬁcients determined ﬁtting polynomial training data done minimizing error function measures misﬁt function given value training set data points one simple choice error function widely used given sum squares errors predictions data point corresponding target values minimize factor included later convenience shall discuss tivation choice error function later chapter moment simply note nonnegative quantity would zero introduction figure error function corre sponds one half sum squares displacements shown vertical green bars data point function function pass exactly training data point geomet rical interpretation sum squares error function illustrated figure solve curve ﬁtting problem choosing value small possible error function quadratic function coefﬁcients derivatives respect coefﬁcients linear elements minimization error function unique solution denoted found closed form resulting polynomial exercise given function remains problem choosing order polynomial shall see turn example important concept called model comparison model selection figure show four examples results ﬁtting polynomials orders data set shown figure notice constant ﬁrst order polynomials give rather poor ﬁts data consequently rather poor representations function sin third order polynomial seems give best function sin examples shown figure much higher order polynomial obtain excellent training data fact polynomial passes exactly data point however ﬁtted curve oscillates wildly gives poor representation function sin latter behaviour known ﬁtting noted earlier goal achieve good generalization making accurate predictions new data obtain quantitative insight dependence generalization performance considering separate test set comprising data points generated using exactly procedure used generate training set points new choices random noise values included target values choice evaluate residual value given training data also evaluate test data set sometimes convenient use root mean square example polynomial curve fitting figure plots polynomials various orders shown red curves ﬁtted data set shown figure rms error deﬁned rms division allows compare different sizes datasets equal footing square root ensures rms measured scale units target variable graphs training test set rms errors shown various values figure test set error measure well predicting values new data observations note figure small values give relatively large values test set error attributed fact corresponding polynomials rather inﬂexible incapable capturing oscillations function sin values range give small values test set error also give reasonable representations generating function sin seen case figure introduction figure graphs root mean square error deﬁned evaluated training set independent test set various values training test training set error goes zero might expect polynomial contains degrees freedom corresponding coefﬁcients tuned exactly data points training set however test set error become large saw figure corresponding function exhibits wild oscillations may seem paradoxical polynomial given order contains lower order polynomials special cases polynomial therefore capa ble generating results least good polynomial furthermore might suppose best predictor new data would function sin data generated shall see later indeed case know power series expansion function sin contains terms orders might expect results improve monotonically increase gain insight problem examining values efﬁcients obtained polynomials various order shown table see increases magnitude coefﬁcients typically gets larger particular polynomial coefﬁcients become ﬁnely tuned data developing large positive negative values correspond table table coefﬁcients polynomials various order observe typical mag nitude coefﬁcients creases dramatically der polynomial increases example polynomial curve fitting figure plots solutions obtained minimizing sum squares error function using polynomial data points left plot data points right plot see increasing size data set reduces ﬁtting probleming polynomial function matches data points exactly data points particularly near ends range function exhibits large oscillations observed figure intuitively happening ﬂexible polynomials larger values becoming increasingly tuned random noise target values also interesting examine behaviour given model size data set varied shown figure see given model complexity ﬁtting problem become less severe size data set increases another way say larger data set complex words ﬂexible model afford data one rough heuristic sometimes advocated number data points less multiple say number adaptive parameters model however shall see chapter number parameters necessarily appropriate measure model complexity also something rather unsatisfying limit number parameters model according size available training set would seem reasonable choose complexity model according complexity problem solved shall see least squares approach ﬁnding model parameters represents speciﬁc case maximum likelihood discussed section ﬁtting problem understood general property maximum likelihood adopting bayesian approach section ﬁtting problem avoided shall see difﬁculty bayesian perspective employing models number parameters greatly exceeds number data points indeed bayesian model effective number parameters adapts automatically size data set moment however instructive continue current approach consider practice apply datasets limited size introduction figure plots polynomials ﬁtted data set shown figure using regularized error function two values regularization parameter corresponding case regularizer corresponding shown bottom right figure may wish use relatively complex ﬂexible models one technique often used control ﬁtting phenomenon cases regularization involves adding penalty term error function order discourage coefﬁcients reaching large values simplest penalty term takes form sum squares coefﬁcients leading modiﬁed error function form coefﬁcient governs rel ative importance regularization term compared sum squares error term note often coefﬁcient omitted regularizer inclusion causes results depend choice origin target variable hastie may included regularization coefﬁcient shall discuss topic detail section error function minimized exactly closed form techniques known exercise statistics literature shrinkage methods reduce value coefﬁcients particular case quadratic regularizer called ridge regression hoerl kennard context neural networks approach known weight decay figure shows results ﬁtting polynomial order data set using regularized error function given see value ﬁtting suppressed obtain much closer representation underlying function sin however use large value obtain poor shown figure corresponding coefﬁcients ﬁtted polynomials given table showing regularization desired effect reducing example polynomial curve fitting table table coefﬁcients polynomials various values regularization parameter note corresponds model regularization graph bottom right figure see value increases typical magnitude coefﬁcients gets smaller magnitude coefﬁcients impact regularization term generalization error seen plotting value rms error training test sets shown figure see effect controls effective complexity model hence determines degree ﬁtting issue model complexity important one discussed length section simply note trying solve practical application using approach minimizing error function would ﬁnd way determine suitable value model complexity results suggest simple way achieving namely taking available data partitioning training set used determine coefﬁcients separate validation set also called hold set used optimize model complexity either many cases however prove wasteful valuable training data seek sophisticated approaches far discussion polynomial curve ﬁtting appealed largely tuition seek principled approach solving problems pattern recognition turning discussion probability theory well providing foundation nearly subsequent developments book also figure graph root mean square ror versus polynomial training test introduction give important insights concepts introduced con text polynomial curve ﬁtting allow extend complex situations 
"
2,"[probability, theory]"," key concept ﬁeld pattern recognition uncertainty arises noise measurements well ﬁnite size datasets prob ability theory provides consistent framework quantiﬁcation manipulation uncertainty forms one central foundations pattern recognition combined decision theory discussed section allows make optimal predictions given information available even though information may incomplete ambiguous introduce basic concepts probability theory considering simple example imagine two boxes one red one blue red box apples oranges blue box apples orange illustrated figure suppose randomly pick one boxes box randomly select item fruit observed sort fruit replace box came could imagine repeating process many times let suppose pick red box time pick blue box time remove item fruit box equally likely select pieces fruit box example identity box chosen random variable shall denote random variable take one two possible values namely corresponding red box corresponding blue box similarly identity fruit also random variable denoted take either values apple orange begin shall deﬁne probability event fraction times event occurs total number trials limit total number trials goes inﬁnity thus probability selecting red box figure use simple example two coloured boxes containing fruit apples shown green anges shown orange intro duce basic ideas probability probability theory figure derive sum product rules probability considering two random variables takes values takes values illustration consider total number instances variables denote number instances number points corresponding cell array number points column corresponding denoted number points row corresponding denoted probability selecting blue box write probabilities note deﬁnition probabilities must lie interval also events mutually exclusive include possible outcomes instance example box must either red blue see probabilities events must sum one ask questions overall probability lection procedure pick apple given chosen orange probability box chose blue one answer questions indeed much complex questions associated problems pattern recognition equipped two ementary rules probability known sum rule product rule obtained rules shall return boxes fruit example order derive rules probability consider slightly general ample shown figure involving two random variables could instance box fruit variables considered shall suppose take values take values consider total trials sample variables let number trials also let number trials takes value irrespective value takes denoted similarly let number trials takes value denoted probability take value take value written called joint probability given number points falling cell fraction total number points hence implicitly considering limit similarly probability takes value irrespective value written given fraction total number points fall column number instances column figure sum number instances cell column therefore introduction sum rule probability note sometimes called marginal probability obtained marginalizing summing variables case consider instances fraction instances written called conditional probability given obtained ﬁnding fraction points column fall cell hence given derive following relationship product rule probability far quite careful make distinction random variable box fruit example values random variable take example box red one thus probability takes value denoted although helps avoid ambiguity leads rather cumbersome notation many cases need pedantry instead may simply write denote distribution random variable denote distribution evaluated particular value provided interpretation clear context compact notation write two fundamental rules probability theory following form rules probability sum rule product rule probability theory simply probability two simple rules form basis probabilistic machinery use throughout book product rule together symmetry property immediately obtain following relationship conditional probabilities called bayes theorem plays central role pattern recognition machine learning using sum rule denominator bayes theorem expressed terms quantities appearing numerator view denominator bayes theorem normalization constant required ensure sum conditional probability left hand side values equals one figure show simple example involving joint distribution two variables illustrate concept marginal conditional distributions ﬁnite sample data points drawn joint distribution shown top left top right histogram fractions data points two values deﬁnition probability fractions would equal corresponding probabilities limit view histogram simple way model probability distribution given ﬁnite number points drawn distribution modelling distributions data lies heart statistical pattern recognition explored great detail book remaining two plots figure show corresponding histogram estimates let return example involving boxes fruit moment shall explicit distinguishing random variables instantiations seen probabilities selecting either red blue boxes given respectively note satisfy suppose pick box random turns blue box probability selecting apple fraction apples blue box fact write four conditional probabilities type fruit given selected box introduction figure illustration distribution two variables takes possible values takes two possible values top left ﬁgure shows sample points drawn joint probability distri bution variables remaining ﬁgures show histogram estimates marginal distributions well conditional distribution corresponding bottom row top left ﬁgure note probabilities normalized similarly use sum product rules probability evaluate overall probability choosing apple follows using sum rule probability theory suppose instead told piece fruit selected orange would like know box came requires evaluate probability distribution boxes conditioned identity fruit whereas probabilities give probability distribution fruit conditioned identity box solve problem reversing conditional probability using bayes theorem give sum rule follows provide important interpretation bayes theorem follows asked box chosen told identity selected item fruit complete information available provided probability call prior probability probability available observe identity fruit told fruit orange use bayes theorem compute probability shall call posterior probability probability obtained observed note example prior probability selecting red box likely select blue box red one however observed piece selected fruit orange ﬁnd posterior probability red box likely box selected fact red one result accords intuition proportion oranges much higher red box blue box observation fruit orange provides signiﬁcant evidence favouring red box fact evidence sufﬁciently strong outweighs prior makes likely red box chosen rather blue one finally note joint distribution two variables factorizes product marginals said independent product rule see conditional distribution given indeed independent value instance boxes fruit example box contained fraction apples oranges probability selecting say apple independent box chosen 
"
3,"[probability, theory, probability, densities]"," well considering probabilities deﬁned discrete sets events also wish consider probabilities respect continuous variables shall limit relatively informal discussion probability real valued variable falling interval given called probability density illustrated figure probability lie interval given introduction figure concept probability discrete variables tended probability density continuous variable probability lying interval given probability density expressed derivative cumulative distri bution function probabilities nonnegative value must lie real axis probability density must satisfy two conditions nonlinear change variable probability density transforms differently simple function due jacobian factor instance consider change variables function becomes consider probability density corresponds density respect new variable sufﬁces denote fact different densities observations falling range small values transformed range hence one consequence property concept maximum probability density dependent choice variable exercise probability lies interval given cumulative distribution function deﬁned satisﬁes shown figure several continuous variables denoted collectively vector deﬁne joint probability density probability theory probability falling inﬁnitesimal volume containing point given multivariate probability density must satisfy integral taken whole space also consider joint probability distributions combination discrete continuous variables note discrete variable sometimes called probability mass function regarded set probability masses concentrated allowed values sum product rules probability well bayes theorem apply equally case probability densities combinations discrete con tinuous variables instance two real variables sum product rules take form formal justiﬁcation sum product rules continuous variables feller requires branch mathematics called measure theory lies outside scope book validity seen informally however dividing real variable intervals width considering discrete probability distributionintervals taking limit turns sums integrals gives desired result 
"
4,"[probability, theory, expectations, covariances]"," one important operations involving probabilities ﬁnding weighted averages functions average value function probability distribution called expectation denoted discrete distribution given average weighted relative probabilities different values case continuous variables expectations expressed terms integration respect corresponding probability density either case given ﬁnite number points drawn probability distribution probability density expectation approximated introduction ﬁnite sum points shall make extensive use result discuss sampling methods chapter approximation becomes exact limit sometimes considering expectations functions several variables case use subscript indicate variable averaged instance denotes average function respect distribution note function also consider conditional expectation respect conditional distribution analogous deﬁnition continuous variables variance deﬁned var provides measure much variability around mean value expanding square see variance also written terms expectations exercise var particular consider variance variable given var two random variables covariance deﬁned covariance expresses extent vary together indepen dent covariance vanishes exercise case two vectors random variables covariance matrix covariance consider covariance components vector use slightly simpler notation covariance probability theory 
"
5,"[probability, theory, bayesian, probabilities]"," far chapter viewed probabilities terms frequencies random repeatable events shall refer classical frequentist interpretation probability turn general bayesian view probabilities provide quantiﬁcation uncertainty consider uncertain event example whether moon orbit around sun whether arctic ice cap disappeared end century events repeated numerous times order deﬁne notion probability earlier context boxes fruit nevertheless generally idea example quickly think polar ice melting obtain fresh evidence instance new earth observation satellite gathering novel forms diagnostic information may revise opinion rate ice loss assessment matters affect actions take instance extent endeavour reduce emission greenhouse gasses circumstances would like able quantify expression uncertainty make precise revisions uncertainty light new evidence well subsequently able take optimal actions decisions consequence achieved elegant general bayesian interpretation probability use probability represent uncertainty however hoc choice inevitable respect common sense making rational coherent inferences instance cox showed numerical values used represent degrees belief simple set axioms encoding common sense properties beliefs leads uniquely set rules manipulating degrees belief equivalent sum product rules probability provided ﬁrst rigorous proof probability theory could regarded extension boolean logic situations involving uncertainty jaynes numerous authors proposed different sets properties axioms measures uncertainty satisfy ramsey good savage definetti lindley case resulting numerical quantities behave precisely according rules probability therefore natural refer quantities bayesian probabilities ﬁeld pattern recognition helpful general 
"
6,"[thomas, bayes]"," thomas bayes born tun bridge wells clergyman well amateur scientist mathematician studied logic theology edinburgh univer sity elected fellow royal society century sues regarding probability arose connection gambling new concept insurance one particularly important problem concerned called verse probability solution proposed thomas bayes paper essay towards solving problem doctrine chances published three years death philo sophical transactions royal society fact bayes formulated theory case uniform prior pierre simon laplace independently rediscovered theory general form demonstrated broad applicability introduction probability consider example polynomial curve ﬁtting discussed section seems reasonable apply frequentist notion probability random values observed variables however would like address quantify uncertainty surrounds appropriate choice model parameters shall see bayesian perspective use machinery probability theory describe uncertainty model parameters indeed choice model bayes theorem acquires new signiﬁcance recall boxes fruit example observation identity fruit provided relevant information altered probability chosen box red one example bayes theorem used convert prior probability posterior probability incorporating evidence provided observed data shall see detail later adopt similar approach making inferences quantities parameters polynomial curve ﬁtting example capture assumptions observing data form prior probability distribution effect observed data expressed conditional probability shall see later section represented explicitly bayes theorem takes form allows evaluate uncertainty observed form posterior probability quantity right hand side bayes theorem evaluated observed data set viewed function parameter vector case called likelihood function expresses probable observed data set different settings parameter vector note likelihood probability distribution integral respect necessarily equal one given deﬁnition likelihood state bayes theorem words posterior likelihood prior quantities viewed functions denominator normalization constant ensures posterior distribution left hand side valid probability density integrates one indeed integrating sides respect express denominator bayes theorem terms prior distribution likelihood function bayesian frequentist paradigms likelihood function plays central role however manner used fundamentally dif ferent two approaches frequentist setting considered ﬁxed parameter whose value determined form estimator error bars probability theory estimate obtained considering distribution possible datasets contrast bayesian viewpoint single data set namely one actually observed uncertainty parameters expressed probability distribution widely used frequentist estimator maximum likelihood set value maximizes likelihood function corresponds choosing value probability observed data set maximized machine learning literature negative log likelihood function called error function negative logarithm monotonically creasing function maximizing likelihood equivalent minimizing error one approach determining frequentist error bars bootstrap efron hastie multiple datasets created follows suppose original data set consists data points create new data set drawing points random replacement points may replicated whereas points may absent process repeated times generate datasets size obtained sampling original data set statistical accuracy parameter estimates evaluated looking variability predictions different bootstrap datasets one advantage bayesian viewpoint inclusion prior knowledge arises naturally suppose instance fair looking coin tossed three times lands heads time classical maximum likelihood estimate probability landing heads would give implying future tosses land section heads contrast bayesian approach reasonable prior lead much less extreme conclusion much controversy debate associated relative mer frequentist bayesian paradigms helped fact unique frequentist even bayesian viewpoint instance one common criticism bayesian approach prior distribution ten selected basis mathematical convenience rather reﬂection prior beliefs even subjective nature conclusions pendence choice prior seen source difﬁculty reducing dependence prior one motivation called noninformative priors section however lead difﬁculties comparing different models indeed bayesian methods based poor choices prior give poor results high conﬁdence frequentist evaluation methods offer protection prob lems techniques cross validation remain useful areas model section comparison book places strong emphasis bayesian viewpoint reﬂecting huge growth practical importance bayesian methods past years also discussing useful frequentist concepts required although bayesian framework origins century practical application bayesian methods long time severely limited difﬁculties carrying full bayesian procedure particularly need marginalize sum integrate whole parameter space shall introduction see required order make predictions compare different models development sampling methods markov chain monte carlo discussed chapter along dramatic improvements speed memory capacity computers opened door practical use bayesian techniques pressive range problem domains monte carlo methods ﬂexible applied wide range models however computationally intensive mainly used small scale problems recently highly efﬁcient deterministic approximation schemes variational bayes expectation propagation discussed chapter developed offer complementary alternative sampling methods allowed bayesian techniques used large scale applications blei 
"
7,"[thomas, bayes, gaussian, distribution]"," shall devote whole chapter study various probability distributions key properties convenient however introduce one important probability distributions continuous variables called normal gaussian distribution shall make extensive use distribution remainder chapter indeed throughout much book case single real valued variable gaussian distribution ﬁned exp governed two parameters called mean called variance square root variance given called standard deviation reciprocal variance written called precision shall see motivation terms shortly figure shows plot gaussian distribution form see gaussian distribution satisﬁes also straightforward show gaussian normalized exercise 
"
8,"[pierre-simon, laplace]"," said laplace seriously lacking modesty one point declared best mathematician france time claim arguably true well proliﬁc mathe matics also made numerous contributions tronomy including nebular hypothesis earth thought formed condensation cooling large rotating disk gas dust published ﬁrst edition eorie analytique des probabilit laplace states probability theory nothing common sense reduced calculation work included discussion inverse probability calculation later termed bayes theorem poincar used solve problems life expectancy jurisprudence planetary masses triangulation error estimation probability theory figure plot univariate gaussian showing mean standard deviation thus satisﬁes two requirements valid probability density readily ﬁnd expectations functions gaussian distribution particular average value given exercise parameter represents average value distribution referred mean similarly second order moment follows variance given var hence referred variance parameter maximum distribution known mode gaussian mode coincides mean exercise also interested gaussian distribution deﬁned dimensional vector continuous variables given exp dimensional vector called mean matrix called covariance denotes determinant shall make use multivariate gaussian distribution brieﬂy chapter although properties studied detail section introduction figure illustration likelihood function gaussian distribution shown red curve black points note data set values likelihood function given corresponds product blue values maximizing likelihood volves adjusting mean variance gaussian maximize product suppose data set observations rep resenting observations scalar variable note using type face distinguish single observation vector valued variable denote shall suppose observations drawn independently gaussian distribution whose mean variance unknown would like determine parameters data set data points drawn independently distribution said independent identically distributed often abbreviated seen joint probability two independent events given product marginal probabilities event separately data set therefore write probability data set given form viewed function likelihood function gaussian interpreted diagrammatically figure one common criterion determining parameters probability distribution using observed data set ﬁnd parameter values maximize likelihood function might seem like strange criterion fore going discussion probability theory would seem natural maximize probability parameters given data probability data given parameters fact two criteria related shall discuss context curve ﬁtting section moment however shall determine values unknown parame ters gaussian maximizing likelihood function practice convenient maximize log likelihood function logarithm monotonically increasing function argument maximization log function equivalent maximization function taking log simpliﬁes subsequent mathematical analysis also helps numerically product large number small probabilities easily underﬂow numerical precision computer resolved computing instead sum log probabilities log likelihood probability theory function written form maximizing respect obtain maximum likelihood solution given exercise sample mean mean observed values similarly maximizing respect obtain maximum likelihood solution variance form sample variance measured respect sample mean note performing joint maximization respect case gaussian distribution solution decouples ﬁrst evaluate subsequently use result evaluate later chapter also subsequent chapters shall highlight signiﬁcant limitations maximum likelihood approach give indication problem context solutions maximum likelihood parameter settings univariate gaussian distribution particular shall show maximum likelihood approach systematically underestimates variance distribution example phenomenon called bias related problem ﬁtting encountered context polynomial curve ﬁtting section ﬁrst note maximum likelihood solutions functions data set values consider expectations quantities respect data set values come gaussian distribution parameters straightforward show exercise average maximum likelihood estimate obtain correct mean underestimate true variance factor intuition behind result given figure follows following estimate variance parameter unbiased introduction figure illustration bias arises using maximum likelihood determine variance gaussian green curve shows true gaussian distribution data generated three red curves show gaussian distributions obtained ﬁtting three datasets consisting two data points shown blueing maximum likelihood results averaged across three datasets mean correct variance systematically estimated measured relative sample mean relative true mean section shall see result arises automatically adopt bayesian approach note bias maximum likelihood solution becomes less signiﬁcant number data points increases limit maximum likelihood solution variance equals true variance distribution generated data practice anything small bias prove serious problem however throughout book shall interested complex models many parameters bias problems asso ciated maximum likelihood much severe fact shall see issue bias maximum likelihood lies root ﬁtting problem encountered earlier context polynomial curve ﬁtting 
"
9,"[pierre-simon, laplace, curve, ﬁtting, re-visited]"," seen problem polynomial curve ﬁtting expressed terms error minimization return curve ﬁtting example view section probabilistic perspective thereby gaining insights error functions regularization well taking towards full bayesian treatment goal curve ﬁtting problem able make predictions target variable given new value input variable basis set training data comprising input values corresponding target values express uncertainty value target variable using probability distribution purpose shall assume given value corresponding value gaussian distribution mean equal value polynomial curve given thus consistency notation later chapters deﬁned precision parameter corresponding inverse variance distribution illustrated schematically figure probability theory figure schematic illustration gaussian conditional distribution given given mean given polynomial function precision given parameter related variance use training data determine values unknown parameters maximum likelihood data assumed drawn independently distribution likelihood function given case simple gaussian distribution earlier convenient maximize logarithm likelihood function substituting form gaussian distribution given obtain log likelihood function form consider ﬁrst determination maximum likelihood solution polynomial coefﬁcients denoted determined maxi mizing respect purpose omit last two terms right hand side depend also note scaling log likelihood positive constant coefﬁcient alter location maximum respect replace coefﬁcient finally instead maximizing log likelihood equivalently minimize negative log likelihood therefore see maximizing likelihood equivalent far determining concerned minimizing sum squares error function deﬁned thus sum squares error function arisen consequence maximizing likelihood assumption gaussian noise distribution also use maximum likelihood determine precision parameter gaussian conditional distribution maximizing respect gives introduction ﬁrst determine parameter vector governing mean sub sequently use ﬁnd precision case simple gaussian distribution section determined parameters make predictions new values probabilistic model expressed terms predictive distribution gives probability distribution rather simply point estimate obtained substituting maximum likelihood parameters give let take step towards bayesian approach introduce prior distribution polynomial coefﬁcients simplicity let consider gaussian distribution form exp precision distribution total number elements vector order polynomial variables control distribution model parameters called hyperparameters using bayes theorem posterior distribution proportional product prior distribution likelihood function determine ﬁnding probable value given data words maximizing posterior distribution technique called maximum posterior simply map taking negative logarithm combining ﬁnd maximum posterior given minimum thus see maximizing posterior distribution equivalent minimizing regularized sum squares error function encountered earlier form regularization parameter given 
"
